,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6
Gene_0000,26.290842751947196,11.917591413049852,25.15442462288515,11.306018296656672,12.177290976218107,16.502783078004303
Gene_0001,7.824438831618627,5.316873351465035,6.5092599401887785,7.851426118420515,9.430221371068322,4.356728171978704
Gene_0002,20.57776520043184,10.74154284010123,11.9956564302044,9.492829970535377,25.910193986475463,32.084039070862964
Gene_0003,114.52248033450445,75.12874352002203,77.01590470462898,65.75270921079867,66.7561225069733,65.90559008538389
Gene_0004,7.490045807771065,5.0520894281367275,2.998868422238564,4.916560699358436,5.714931291660466,5.9652998943696645
Gene_0005,8.706865831076756,3.95246051667321,6.601244318939008,6.88340930986406,9.631724974749028,6.941799513707592
Gene_0006,122.25757915264273,93.4347422838198,62.874338746365375,87.00189805121292,112.80433794876416,97.85706258957906
Gene_0007,40.96742620584588,30.056936321650646,20.836734709422455,16.773573359462485,26.85785738558239,37.87197823823827
Gene_0008,3.982768647218316,2.1906335344405607,4.988741627247632,2.976094705012968,3.9010847442510865,4.924855254719923
Gene_0009,31.68418450576537,12.880222007675311,10.395232405548052,19.370775723158985,19.562099876987983,15.033074067717754
Gene_0010,5.007379388090402,2.842832974436354,2.2241933019146707,3.9411584946090525,3.6259474562692744,8.275072091186027
Gene_0011,8.764793787264471,2.6915164333598005,2.8291656799003824,3.3803849474461773,2.2406180565991436,4.547196680079657
Gene_0012,11.055703202601942,13.229592616748253,13.304646649406564,10.064503479998454,22.474200537026196,11.864453862431786
Gene_0013,0.9026938079208856,0.3838905153671281,0.2436389394560424,0.5651022946160915,0.5033086699089969,0.6531573461184549
Gene_0014,0.7548440148662583,0.49854527271344684,0.21797669087307298,0.5208136052915747,0.718089302283549,0.6992576932479613
Gene_0015,3.346458641939095,1.6922860753457147,2.5469010161075234,3.3887556494987643,3.5821658702889017,4.1834768545950825
Gene_0016,1.790235058999888,1.9003708548716016,1.7505531840639401,3.394158113660075,1.4873403237316603,3.9876976698192075
Gene_0017,13.76358265880044,7.926914007745621,15.566260872310247,8.453560079795196,12.837426920914451,12.725910228287123
Gene_0018,2.7510235170859474,1.8712637432322292,1.5108490261479648,1.1885481536005635,1.3430144622043114,2.0086063807459045
Gene_0019,1.3299674313590928,0.9374684779000373,0.7201993354876722,1.2299122230571986,2.016657878138523,1.073928608959954
Gene_0020,71.74531182070345,97.25545344418903,86.34057565005503,59.45392786583413,52.71451169430512,107.20398851367203
Gene_0021,6.691168559235237,3.4534017331845384,2.7567965161306693,5.239288711193323,4.430519705202402,3.9125168414667644
Gene_0022,19.90025955164528,3.2094801777247084,6.67515455395915,7.079950028969855,8.215197344997863,5.293242778991399
Gene_0023,1.8736717933711666,0.8946729105706349,0.8467592792742245,0.8827256175955577,1.4711901015522495,0.8534644920776316
Gene_0024,4.763974857806581,5.4425602971288685,3.42755717404178,5.773675057855225,3.7604921545182197,2.335099600488532
Gene_0025,11.29708002932341,12.289412456281218,6.869546966369638,12.150178708334657,6.905473608776707,8.968693385118215
Gene_0026,1.7441692917062883,1.3594467068743477,1.2183508976076736,1.8635777161459164,2.1958788861457275,1.7843693774704834
Gene_0027,19.97260888616787,10.877826999485261,5.644632565278583,9.290574269697576,18.534214261579077,11.601424457400306
Gene_0028,2.826286206694424,3.7130330245244876,2.25968116322816,2.3256912349065475,4.044442353404531,2.283705886482201
Gene_0029,5.651979138998171,3.4592985618829135,5.0136704558164675,2.2278950891416427,6.779822188107745,5.686335658854181
Gene_0030,2.3247772298228937,3.3568993579913484,2.047067241764466,2.5726777726786567,7.046421362805645,4.531298972164909
Gene_0031,171.56180374371425,134.38766557106263,111.02649060440845,173.4257733802456,262.6223249451361,83.49032570971019
Gene_0032,11.253422500266229,9.664771404401085,7.5948637528358045,9.254959533759815,6.756539076333162,10.811705638039856
Gene_0033,1.674035247504477,3.3602048641135758,1.2514778462827352,1.548522241702614,2.821786887737703,2.2556337776575
Gene_0034,52.0795708140127,27.721616381642455,24.498521851682625,27.589871730063063,32.64001707042409,39.44267764249695
Gene_0035,1.0489232753319675,0.9868036087317141,0.8134840486201559,1.053786974597045,1.5765430357047683,1.9918903444436367
Gene_0036,8.33732388908625,9.740509478969683,8.714325601168383,11.764005794582951,6.975369986906495,22.844378968531863
Gene_0037,0.535041866276479,0.22322888763825863,0.43051029073640934,0.5382564034881335,0.42577268116130956,0.41002904503948734
Gene_0038,1.765810474362621,0.7945155768577766,0.9689610137734843,0.6792787852808715,0.9054212966490808,1.215794680297466
Gene_0039,21.056925766853634,8.526487098888765,7.636877050793824,11.887739991034234,14.592106419026214,10.22837625998429
Gene_0040,24.948007292170438,18.56250481491171,21.946794117301963,32.38682768860931,35.367568215741684,26.13037533557078
Gene_0041,16.90173081274898,9.712650477322853,10.860057864000126,9.233551857561174,5.879535395889962,17.66737906752749
Gene_0042,7.859589631879637,4.713694153950865,3.0808375028630226,8.390156857615404,7.075855431176494,4.84442593091143
Gene_0043,5.716265036443249,6.393769382266516,6.108754827093819,11.977887552844061,7.550955685102923,4.241152613630041
Gene_0044,1.3418836764175484,0.7811012151031738,0.6669747275843362,0.8531973763891177,0.8719567575739378,1.4193184840181337
